populacao,total_cenverg,it_converg,fitmedio
20,20,8,1.000
20,20,27,1.000
20,20,39,1.000
20,0,0,0.500
20,20,58,1.000
20,19,207,0.975
20,20,122,1.000
20,2,128,0.550
20,20,46,1.000
20,20,7,1.000
20,19,23,0.958
20,18,29,0.925
20,19,56,0.963
20,19,18,0.960
20,7,228,0.675
20,19,19,0.967
20,18,92,0.938
20,0,0,0.500
20,19,18,0.960
20,0,0,0.485
20,7,74,0.675
20,10,37,0.750
20,13,102,0.825
20,0,0,0.500
20,5,103,0.625
20,8,180,0.700
20,12,12,0.800
20,0,0,0.500
20,3,71,0.575
20,0,0,0.450
20,2,141,0.550
20,0,0,0.458
20,0,0,0.500
20,3,82,0.575
20,0,0,0.475
20,1,234,0.525
20,2,69,0.517
20,17,59,0.925
20,0,0,0.400
20,7,99,0.675
20,0,0,0.500
20,20,25,1.000
20,20,47,1.000
20,20,163,1.000
20,0,0,0.500
20,0,0,0.500
20,20,4,1.000
20,20,31,1.000
20,20,14,1.000
20,20,84,1.000
20,5,29,0.625
20,20,78,1.000
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,13,132,0.825
20,2,56,0.550
20,3,125,0.575
20,6,194,0.650
20,18,54,0.950
